"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"SP1REPWGTXXX","2","Admin","1","Weighting","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Replicate weight for split sample: group 1 topical modules (XXX represents 1 - 160)","HOUSEHOLD","Numeric","NA","Coming soon","0 : 99999: 0 to 99,999","NA","NA","None","INTSTATUS in ('1' '2' '3') and SPLITSAMP = '1'","More information on using replicate weights can be found at https://www.census.gov/programs-surveys/ahs/tech-documentation/help-guides.html.",
"SP1WEIGHT","3","Admin","1","Weighting","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Final weight for split sample: group 1 topical modules","HOUSEHOLD","Numeric","NA","Coming soon","0 : 99999: 0 to 99,999","NA","NA","None","INTSTATUS in ('1' '2' '3') and SPLITSAMP = '1'","Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a special weight is provided that must be used for estimating those data items. SP1WEIGHT is only present for records that are in group 1; SP2WEIGHT is only present for records in group 2. Beginning in 2023, some ""topical"" module questions were embedded into existing ""core"" modules. Due to this, the 2023 AHS instrument includes ""topical"" questions that were included in Group 1, Group 2, and the full sample. For more details regarding 2023 ""topical"" content, including each variable's topic, group, and weight, reference ""2023 AHS Topical Content Reference File."" <br/> In 2023, Group 1 included Heat Risk and Housing Insecurity; Group 2 included Healthy Homes and Power Outage. <br/> In 2021, Group 1 included the topic Recent Mover and Neighborhood Quality; Group 2 included Pets, Wildfire Risk, Smokers. <br/> In 2019, Group 1 included the topic Food Security and Post-Secondary Education; Group 2 included Accessibility. <br/> In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. <br/> In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes.",
"SP2REPWGTXXX","4","Admin","1","Weighting","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Replicate weight for split sample: group 2 topical modules (XXX represents 1 - 160)","HOUSEHOLD","Numeric","NA","Coming soon","0 : 99999: 0 to 99,999","NA","NA","None","INTSTATUS in ('1' '2' '3') and SPLITSAMP = '2'","More information on using replicate weights can be found at https://www.census.gov/programs-surveys/ahs/tech-documentation/help-guides.html.",
"SP2WEIGHT","5","Admin","1","Weighting","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Final weight for split sample: group 2 topical modules","HOUSEHOLD","Numeric","NA","Coming soon","0 : 99999: 0 to 99,999","NA","NA","None","INTSTATUS in ('1' '2' '3') and SPLITSAMP = '2'","Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a special weight is provided that must be used for estimating those data items. SP1WEIGHT is only present for records that are in group 1; SP2WEIGHT is only present for records in group 2. Beginning in 2023, some ""topical"" module questions were embedded into existing ""core"" modules. Due to this, the 2023 AHS instrument includes ""topical"" questions that were included in Group 1, Group 2, and the full sample. For more details regarding 2023 ""topical"" content, including each variable's topic, group, and weight, reference ""2023 AHS Topical Content Reference File."" <br/> In 2023, Group 1 included Heat Risk and Housing Insecurity; Group 2 included Healthy Homes and Power Outage. <br/> In 2021, Group 1 included the topic Recent Mover and Neighborhood Quality; Group 2 included Pets, Wildfire Risk, Smokers. <br/> In 2019, Group 1 included the topic Food Security and Post-Secondary Education; Group 2 included Accessibility. <br/> In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. <br/> In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes.",
"SPLITSAMP","6","Admin","1","Weighting","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating split sample group","HOUSEHOLD","Character","NA","Coming soon","1: Group 1||2: Group 2","NA","NA","None","INTSTATUS in ('1' '2' '3')","Some AHS modules are considered to be ""topical"" as opposed to ""core."" Topical modules are included on a rotating basis and are usually asked of only half the AHS sample. When a topical module is only asked of half the sample a special weight is provided that must be used for estimating those data items. SP1WEIGHT is only present for records that are in group 1; SP2WEIGHT is only present for records in group 2. Beginning in 2023, some ""topical"" module questions were embedded into existing ""core"" modules. Due to this, the 2023 AHS instrument includes ""topical"" questions that were included in Group 1, Group 2, and the full sample. For more details regarding 2023 ""topical"" content, including each variable's topic, group, and weight, reference ""2023 AHS Topical Content Reference File."" <br/> In 2023, Group 1 included Heat Risk and Housing Insecurity; Group 2 included Healthy Homes and Power Outage. <br/> In 2021, Group 1 included the topic Recent Mover and Neighborhood Quality; Group 2 included Pets, Wildfire Risk, Smokers. <br/> In 2019, Group 1 included the topic Food Security and Post-Secondary Education; Group 2 included Accessibility. <br/> In 2017, Group 1 included the topic Commuting; Group 2 included Disaster Planning. <br/> In 2015, Group 1 included the topics Art, Food Security, and Housing Counseling; Group 2 included Healthy Homes.",
"WEIGHT","9","Admin","1","Weighting","4","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Final weight","HOUSEHOLD","Numeric","NA","Coming soon","0 : 99999: 0 to 99,999","NA","NA","None","INTSTATUS in ('1' '2' '3')","Each housing unit in the AHS represents itself and a number of other units. In order to develop estimates using the AHS the final weight must be applied to the survey data. The final weight starts with the inverse of the sampling fraction (PWT) and incorporates several adjustment factors that minimize sampling errors and errors from incomplete survey data. <br/> <br/> The Noninterview Adjustment Factor increases the weight of each interviewed unit to account for sampled units that were not interviewed. This adjustment is applied to five classes of geography: central cities, urban and rural inside MSAs, urban and rural outside MSAs. Over time the geographic boundaries related to these five classes may be redefined by local or state governments. For National surveys, WEIGHT uses the boundaries as they were officially defined in 1980. For Metro surveys, WEIGHT uses the boundaries as they were defined in the decennial year prior to the survey year. <br/> <br/> More information on weighting can be found at www.census.gov/programs-surveys/ahs/tech-documentation/def-errors-changes.html. <br/> <br/> WEIGHT may be used with all Metro surveys, and for National survey years 1997, 1999, and 2015 and later. For National survey years 2001 to 2013, WGT90GEO should be used as the final weight.",
"WEIGHT","9","Admin","1","Weighting","4","2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Final weight","HOUSEHOLD","Numeric","NA","Coming soon","0 : 99999: 0 to 99,999","NA","NA","None","INTSTATUS in ('1' '2' '3')","Each housing unit in the AHS represents itself and a number of other units. In order to develop estimates using the AHS the final weight must be applied to the survey data. The final weight starts with the inverse of the sampling fraction (PWT) and incorporates several adjustment factors that minimize sampling errors and errors from incomplete survey data. The Noninterview Adjustment Factor increases the weight of each interviewed unit to account for sampled units that were not interviewed. This adjustment is applied to five classes of geography: central cities, urban and rural inside MSAs, urban and rural outside MSAs. Over time the geographic boundaries related to these five classes may be redefined by local or state governments. For National surveys, WEIGHT uses the boundaries as they were officially defined in 1980. For Metro surveys, WEIGHT uses the boundaries as they were defined in the decennial year prior to the survey year. More information on weighting can be found at www.census.gov/programs-surveys/ahs/tech-documentation/def-errors-changes.html. WEIGHT may be used with all Metro surveys, and for National survey years 1997, 1999, and 2015 and later. For National survey years 2001 to 2013, WGT90GEO should be used as the final weight.",
"OCCAPRIL","1","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in April","HOUSEHOLD","Character","JOCCAPRIL","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCAPRIL","1","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in April","HOUSEHOLD","Character","JOCCAPRIL","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCAUGUST","2","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in August","HOUSEHOLD","Character","JOCCAUGUST","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCAUGUST","2","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in August","HOUSEHOLD","Character","JOCCAUGUST","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCDECEM","3","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in December","HOUSEHOLD","Character","JOCCDECEM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCDECEM","3","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in December","HOUSEHOLD","Character","JOCCDECEM","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCFEBRU","4","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in February","HOUSEHOLD","Character","JOCCFEBRU","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCFEBRU","4","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in February","HOUSEHOLD","Character","JOCCFEBRU","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCJANUR","5","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in January","HOUSEHOLD","Character","JOCCJANUR","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCJANUR","5","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in January","HOUSEHOLD","Character","JOCCJANUR","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCJULY","6","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in July","HOUSEHOLD","Character","JOCCJULY","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCJULY","6","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in July","HOUSEHOLD","Character","JOCCJULY","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCJUNE","7","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in June","HOUSEHOLD","Character","JOCCJUNE","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCJUNE","7","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in June","HOUSEHOLD","Character","JOCCJUNE","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCMARCH","8","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in March","HOUSEHOLD","Character","JOCCMARCH","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCMARCH","8","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in March","HOUSEHOLD","Character","JOCCMARCH","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCMAY","9","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in May","HOUSEHOLD","Character","JOCCMAY","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCMAY","9","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in May","HOUSEHOLD","Character","JOCCMAY","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCNOVEM","10","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in November","HOUSEHOLD","Character","JOCCNOVEM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCNOVEM","10","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in November","HOUSEHOLD","Character","JOCCNOVEM","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCOCTOB","11","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in October","HOUSEHOLD","Character","JOCCOCTOB","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCOCTOB","11","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in October","HOUSEHOLD","Character","JOCCOCTOB","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCSEPTEM","12","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied in September","HOUSEHOLD","Character","JOCCSEPTEM","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCSEPTEM","12","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied in September","HOUSEHOLD","Character","JOCCSEPTEM","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCYRRND","13","Occupancy and Tenure","2","Months Occupied","1","2023 National, 2023 Metro","PUF","Flag indicating unit is typically occupied year-round","HOUSEHOLD","Character","JOCCYRRND","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"OCCYRRND","13","Occupancy and Tenure","2","Months Occupied","1","2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating unit is typically occupied year-round","HOUSEHOLD","Character","JOCCYRRND","Coming soon","1: Yes||2: No||N or -6: Not applicable","During what months is this unit occupied during a typical year? (Mark all that apply)","MOSOCC","None","INTSTATUS in ('2' '3')","",
"PERMNEAR","1","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating this unit is within 150 miles of owners residence","HOUSEHOLD","Character","JPERMNEAR","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Is this unit within 150 miles of the owner's current residence?","S150MV","None","INTSTATUS in ('2' '3') and (VACPRIRES in ('1' '2' 'M') or VACREC in ('1' '2' 'M') or VACINVEST in ('1' '2' 'M') or VACSELL in ('1' '2' 'M') or VACINHER in ('1' '2' 'M') or VACOTH in ('1' '2' 'M'))","",
"SUITYRRND","2","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating this unit is suitable for year round use","HOUSEHOLD","Character","JSUITYRRND","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Does the construction and heating of this housing unit make it suitable for year round use?","YRRND","None","INTSTATUS in ('2' '3') and VACANCY in ('08' '09' '10' '11' 'M')","",
"VACINHER","3","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating this unit was inherited","HOUSEHOLD","Character","JVACINHER","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Which of the following reasons is why the owner owns this unit? (Mark all that apply)","WHYOWN","None","(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10'))","Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument.",
"VACINVEST","4","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating this unit is used for investment purposes","HOUSEHOLD","Character","JVACINVEST","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Which of the following reasons is why the owner owns this unit? (Mark all that apply)","WHYOWN","None","(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10'))","Starting in 2015, these answer categories for WHYOWN were randomized in the Instrument.",
"VACOTH","5","Occupancy and Tenure","2","Seasonal and URE Characteristics","2","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Flag indicating this unit is owned for some other reason","HOUSEHOLD","Character","JVACOTH","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Which of the following reasons is why the owner owns this unit? (Mark all that apply)","WHYOWN","None","(INTSTATUS = '2' and VACANCY <> '11') or (INTSTATUS = '3' and VACANCY in ('06' '08' '09' '10'))","",
